XVPM,GWYH,TRAT,TLLZ,IGGA,HYKR,EDFS,GUUB,MGJM,JHZC,TARGET CLASS
1636.670614,817.9885254,2565.995189,358.3471633,550.4174909,1618.870897,2147.641254,330.7278926,1494.878631,845.1360881,0
1013.40276,577.5873317,2644.141273,280.4282034,1161.873391,2084.107872,853.4049814,447.1576194,1193.032521,861.0818088,1
1300.035501,820.5186973,2025.854469,525.5622917,922.2062613,2552.355407,818.6766863,845.491492,1968.367513,1647.186291,1
1059.347542,1066.866418,612.0000407,480.8277892,419.4674946,685.6669826,852.8678103,341.664784,1154.391368,1450.935357,0
1018.340526,1313.679056,950.6226611,724.7421745,843.0659034,1370.554164,905.4694531,658.1182024,539.4593496,1899.850792,0
1587.993461,667.4201206,2072.048544,364.6249576,905.0113846,2229.178514,880.4425664,568.6984084,645.7192172,2156.94999,1
1497.293624,822.4358528,908.0593656,671.7975171,1280.270442,1910.066313,1052.812386,713.7574986,703.9516317,1088.493788,0
1172.820769,1166.958461,455.6565879,445.5727453,1109.894585,1045.551452,1301.821786,264.9401373,945.0239321,2307.922229,0
839.494647,1089.747059,653.6998943,659.3345896,1529.725972,1521.320489,1401.676227,433.0250425,1289.063583,1690.149835,0
1028.68914,202.0897744,1030.84186,429.109102,943.1048148,1978.506855,653.1785123,753.6552906,1336.37596,1057.864848,1
1042.945431,826.0099,741.5185935,548.2373812,1528.675999,2045.541016,870.2451986,495.1773384,1452.401331,1814.55535,0
715.5339487,768.001549,1513.34281,95.99587552,1281.787242,1090.21718,1982.211252,465.5893813,914.0558579,872.7056598,1
747.2916718,686.6332844,1616.22955,511.1877644,1134.462664,795.0973878,1990.580165,117.9234156,1325.204825,1377.789557,1
1283.507423,431.8946676,1546.932746,561.8856338,525.9565925,867.6271201,595.6905732,458.8913684,1299.23968,1056.137311,0
520.8030318,804.0542622,1758.46012,485.3044009,1130.508717,1303.730111,2076.52105,962.861165,773.5523801,314.4712148,1
873.1296174,452.9183718,2502.381633,473.0050268,1104.84198,962.9538427,2442.336841,426.7606868,1018.262154,1416.744985,1
788.7434177,1074.643318,1590.149211,352.8760134,264.3189096,2044.646303,497.9560762,509.5362094,967.3984791,921.1432085,0
1656.397158,1246.507359,819.5646948,759.1766574,1177.173127,1138.812756,2028.880845,774.3851374,1220.454072,1511.862543,0
1659.985069,564.2614798,1330.514249,351.2126789,1133.611093,1401.643495,1537.033328,185.9445093,704.436036,1530.576756,1
977.9705109,1256.551409,1296.039273,446.8837563,856.889614,2207.645059,1144.668238,304.0502932,385.6523647,1098.520412,0
1590.953919,1642.642026,1441.558864,452.3552515,1185.151256,1271.075752,1601.72348,33.79584006,1393.799311,1367.835696,0
925.5100814,1208.215974,1535.052971,348.7236854,822.4280455,1000.350732,3147.852887,587.1953283,1566.304705,655.5029381,1
1112.177643,1299.353372,3088.971728,482.2906834,976.8094106,1977.667013,1436.432496,438.6097103,921.4522563,2222.72433,1
869.2765716,1553.333984,627.1419833,713.3732513,907.8521262,1211.430751,1962.229486,553.4777594,1610.411277,1565.09303,0
1004.468897,352.7526722,1837.076385,383.0052943,1251.250803,1059.642491,1577.967851,372.5554093,501.9245211,1404.1278,1
1195.067484,309.8731883,1427.623387,481.5603326,1181.589813,978.20475,1625.921357,306.0928101,702.7906987,1402.234683,1
727.1586558,761.8181188,665.3421078,522.9307867,1187.126255,1536.23743,1892.641705,326.8817182,1097.684197,724.5413264,0
969.2053665,1222.820168,458.0714847,277.527595,973.021138,1750.078691,2820.497566,610.9367569,892.0008848,1506.187758,0
1379.823388,587.7503047,1652.746728,637.3493196,1171.338396,1311.619008,282.9711059,705.4055974,723.418855,1157.365009,0
1528.677741,1030.704153,377.7634687,460.8925511,618.9182433,1813.189429,1180.293065,392.2216912,788.7471563,1116.096121,0
757.1913671,679.701416,1639.242084,463.828551,503.1644743,1605.403733,2851.483768,850.0730984,830.7354642,1850.936787,0
804.5623106,978.422198,1505.25894,609.7021297,1065.668223,334.8760693,1888.76008,330.7800503,1153.443956,957.442286,1
1165.950127,742.4013919,1981.015083,734.7751848,844.8566157,1872.779943,2395.941334,472.9038291,1100.764326,1113.994899,1
934.2349042,942.1451785,1725.523537,775.4620411,862.5435538,1142.147623,2366.939469,421.3536106,1254.164883,1107.633484,1
520.2381318,985.837026,2595.9978,582.3888209,1002.694209,516.1619464,1192.478828,763.1005096,1210.398146,819.3720129,1
326.3709673,981.0122351,1583.639677,441.8245626,797.2134714,295.7152193,1990.297706,550.117537,1196.212182,1229.38068,1
512.1218228,600.0273643,2080.735649,405.4229948,1107.613203,2242.021795,1894.214939,434.5102424,1300.512904,893.4231334,1
561.0763007,716.085887,2071.18116,567.8163807,718.7312313,1691.510686,1802.53724,743.6993089,451.1199633,1997.788827,0
1155.350566,1608.608028,1106.957687,571.4488664,1184.461052,926.6336422,2014.950226,1075.797115,1621.316385,422.1960855,0
1680.574245,1368.968535,2144.298422,532.4820803,852.3646642,1665.274434,2349.438746,1302.12485,1675.302496,1336.430331,0
1090.588718,1512.927949,2678.739112,451.831492,1387.970244,1502.332542,1028.002828,321.65722,1938.125746,1603.842538,1
1076.962203,673.1956216,1343.902962,425.5749895,583.0143276,1566.993735,707.7428023,212.9564358,630.8048979,1669.991086,1
977.027942,716.195846,1377.725409,586.7909175,822.420152,2485.798215,2071.975853,833.4737789,1464.182788,661.801453,1
828.2064535,1339.697957,265.903079,361.5575104,1227.674733,1666.571282,653.9901698,569.4963952,769.2383521,1269.425848,0
1033.641478,723.1863826,1470.60942,656.8857634,1279.343782,2229.352922,2129.350189,570.0279649,738.0528822,1413.547705,1
691.7965692,857.906358,1234.419952,369.5464957,419.085791,1006.363185,2038.829953,423.9761499,501.0767565,1293.698606,1
1240.344967,1102.629665,2538.836386,540.1275719,1517.197192,1507.460274,2752.678804,875.2084833,897.743767,1145.044601,1
1467.856543,1883.499655,1425.926646,527.8017897,623.1098685,1331.190581,1070.707513,1193.075211,1632.989552,2019.315396,0
1301.479287,633.4936402,2451.48247,563.6523244,692.7457807,2011.871648,1632.371832,901.3365192,1784.240794,569.0724646,1
814.1750939,1097.08249,1066.433589,333.0697662,1049.614092,2334.273338,541.6721127,299.7126895,982.3068482,1210.819025,0
1267.238608,582.2299634,1941.277127,519.7553934,735.1773555,2521.579488,1600.753751,484.0375294,744.0754041,1702.114053,1
1916.223162,1694.53942,1170.198928,493.1885614,605.4554731,1521.6104,876.0406403,515.4162102,807.1312462,1471.403249,0
1186.127449,176.2452597,1998.69274,651.4909813,1062.024184,1167.96446,1688.408305,497.0519571,1317.212244,1373.15733,1
397.3782783,1152.437273,558.0880105,469.9524846,909.7264686,1111.967986,2031.485133,414.3515845,1201.135796,942.3139964,0
1209.872745,1591.091812,927.4936988,622.7970792,655.5259223,1147.387053,2021.232683,400.2926956,1221.448578,2355.196953,0
777.7018323,620.8713546,2175.111278,472.9332473,1682.015838,947.3139064,1309.283396,731.7904704,1405.033082,2226.41521,1
1118.439294,944.6323951,1882.236932,604.6094965,651.3807221,1807.834004,1802.300366,227.7928976,498.8464138,1293.445769,1
1059.354959,1055.382069,482.3824492,379.9449334,927.606318,1802.056578,576.9479181,635.2501341,1164.813083,296.5018563,0
1069.24759,1306.106433,3138.891624,512.2865711,1155.173423,944.2282006,927.7541709,775.3700084,1916.412943,1169.702643,1
605.1290098,648.2179207,629.5229004,463.8216697,1221.180728,1681.557759,1450.974717,832.5631901,1297.412515,461.7063612,1
1297.569807,969.5003919,914.8372478,441.8146951,701.4666338,1955.183272,2243.011982,163.4880462,1376.619742,2016.985864,0
